SO580JQ,7,11,18,26
KE277RH,7,12,17,27
TV793JA,7,18,8,7
RV596HN,7,47,12,23
MI407ZV,7,50,16,23
RV907NR,7,53,10,22
MI135XM,8,21,14,29
TV552IH,8,29,15,9
GL200CM,8,52,14,54
KS307ES,8,53,18,11
KE313VH,8,56,16,32
GL403BC,9,47,18,43
RV940KN,10,8,18,53
GL588MW,10,13,12,7
KE288ZY,10,17,12,54
GL397WP,10,18,15,29
SO660XE,10,27,14,12
KE008LC,10,56,11,35
KE399KR,11,19,20,0
TV538UH,11,19,11,45
RV907NR,11,25,16,41
TV235BB,11,47,20,0
MI184UU,11,54,19,49
TV147WY,12,30,18,48
GL753ZL,12,54,14,25
RV280BK,12,59,16,33
TV129ZC,13,6,18,17
KE288ZY,13,17,17,45
SN053GO,13,22,19,55
SO665LT,13,34,14,23
KS660VQ,13,53,17,1
GL482WG,14,14,19,35
MI644DP,14,21,15,47
GL588MW,14,52,15,32
TV648SZ,14,52,20,0
GL769TK,14,57,20,0
SO712DI,15,25,15,55
SN557XT,15,30,18,15
KE860ZA,15,51,17,37
TV816HZ,15,58,19,27
KE807MZ,16,10,17,38
SN812CS,16,11,19,10
TV552IH,16,19,17,22
GL139TH,16,25,19,35
SO660XE,16,30,19,40
SN139YY,16,54,17,7
TV716PL,17,27,20,0
SN386KQ,17,53,18,29
SO912ZR,18,8,18,52
TV128BJ,18,46,18,49
TV151XB,18,50,19,28
RV907EF,18,55,19,26
MI378US,18,57,20,0
RV280BK,18,58,19,50
MI520VJ,19,5,19,57
RV107WI,19,28,19,47
SO564MD,6,31,18,0
RV170IW,7,9,15,51
RV385MG,7,35,11,37
TV630IQ,7,37,18,0
KS076RO,7,43,18,0
MI756JB,7,43,9,42
SN984EP,7,52,14,14
KS221ZE,8,17,13,19
TV663BM,8,21,17,44
SO726JS,8,27,15,4
KE535JQ,8,34,15,5
SO261BZ,8,43,15,16
GL086SC,9,0,18,0
SN094MU,9,1,10,11
SN667JB,9,14,14,43
GL211SP,9,16,16,35
MI578PH,9,56,18,0
KE466VN,10,1,17,20
SO198CF,10,6,12,7
RV080UU,11,1,13,12
GL510UI,11,5,11,30
KS662DK,11,28,17,13
SO959QL,11,37,18,0
SO845KX,11,45,12,24
TV762RS,12,7,18,0
SN484ZJ,12,13,14,50
SO431RB,12,49,14,9
RV385MG,13,6,13,58
SN398UL,13,19,15,24
TV792RI,13,43,15,9
RV583XJ,14,6,18,0
MI848IE,14,7,18,0
TV376UV,14,47,15,38
SN932SS,14,53,15,18
GL261ZR,14,56,18,0
MI388KY,15,5,18,0
SN491UX,15,10,17,46
MI817ZR,15,17,16,40
MI013LG,15,40,18,0
KE908KS,15,42,18,0
SO431RB,15,58,16,58
GL691QB,16,7,18,0
MI886JS,16,18,18,0
KE241VL,16,28,17,16
SN667JB,16,46,18,0
KE118TP,16,48,18,0
TV728BF,16,49,17,4
KS143IP,16,50,17,16
RV531IG,16,54,18,0
KS862HI,17,19,17,52
GL198QF,17,20,18,0
GL521GA,17,29,17,43
TV340DR,17,31,18,0
RV525VE,6,3,14,32
SN060AO,6,9,17,47
MI395CE,6,18,12,55
SN068DV,6,28,11,23
GL419QO,6,43,10,25
SN557GF,7,21,7,41
SN890SG,7,59,12,44
KS807VT,8,20,16,17
GL627YY,8,20,12,16
SN557GF,8,27,13,36
SO815EW,8,29,16,21
KS327XQ,8,45,14,12
RV575DO,8,55,18,14
KE217DT,9,8,12,26
TV951GJ,9,15,12,6
SN095ZT,9,54,10,0
RV748RI,9,54,11,39
KE353HQ,10,4,15,27
KS535LO,10,32,19,0
RV741VV,10,51,13,34
SO290XA,10,56,11,51
MI204ZH,11,3,18,38
GL419QO,11,14,13,49
SN095ZT,11,19,16,54
KS910CF,11,36,13,43
RV003PU,11,53,12,48
KE520GG,12,0,15,4
KE074ZH,12,1,19,0
SO449EL,12,2,18,27
KS854OH,12,31,13,34
MI707OD,12,54,19,0
SO053EO,13,2,15,5
KS919IE,13,3,13,24
SN067KK,13,21,15,58
KS356CG,14,23,19,0
SO613OO,14,29,16,4
GL049KR,14,32,19,0
MI339UD,14,41,16,22
KS910CF,14,47,15,19
SO508NF,15,17,18,11
RV741VV,15,20,15,39
MI147HF,15,36,19,0
RV525VE,15,47,15,58
TV483US,15,56,16,12
RV464ZP,15,59,17,36
SN067KK,16,1,17,59
MI715TB,16,3,17,56
SO936VW,16,7,19,0
KE917RM,16,9,18,14
MI214LI,16,18,17,21
MI837OO,16,43,16,50
GL413BV,16,48,18,8
SO850BW,16,49,18,22
KE369UU,17,27,19,0
KS910CF,17,30,17,46
MI068QP,17,48,17,51
MI312YV,17,51,18,37
GL120NE,18,6,19,0
MI611UG,7,28,14,46
MI947BH,8,0,18,0
MI676PI,8,11,17,8
KS187PA,8,18,12,32
RV180TH,8,19,11,54
KS398XO,8,26,8,35
RV477YF,8,41,11,47
KE495UI,8,50,9,36
KE867CV,8,58,17,46
TV546BM,9,9,9,15
TV418PE,9,17,15,26
SN423LW,9,22,18,0
RV610HR,9,54,16,5
MI972YS,9,55,16,29
GL255LA,10,17,17,2
TV757RW,10,23,17,47
KS398XO,10,23,14,17
KE159JJ,10,25,13,44
KE336RB,10,33,13,6
KE454BH,10,48,13,8
KS828GK,11,5,14,10
SO772FY,11,19,18,0
TV546BM,11,24,16,5
SO761XT,11,33,18,0
SO660BW,11,34,13,55
SO992CM,11,57,13,8
SN217UR,12,0,16,7
RV397DG,12,12,15,49
GL325XM,12,43,13,27
SO709HD,12,44,13,56
SN004VC,12,50,17,25
KE010JK,12,56,14,51
KE800ZM,12,56,13,38
SO127AJ,13,9,15,24
RV180TH,13,15,15,38
RV477YF,13,31,14,10
KE369AF,13,38,14,8
GL414FY,13,53,18,0
SO213JU,14,7,15,14
MI207GH,14,16,17,38
RV628FX,14,42,15,10
RV287IX,14,45,16,5
KE109KR,14,51,17,45
KS093IH,14,52,17,4
KS187PA,14,55,15,20
MI611UG,15,6,16,49
KE010JK,15,10,18,0
GL377GE,15,15,18,0
GL591FB,15,24,16,4
KE454BH,15,34,15,53
GL727IM,15,40,15,47
RV858IH,15,46,15,57
KS398XO,15,50,17,16
KE369AF,16,36,17,5
SO697QK,16,59,17,37
SN204MZ,17,2,18,0
SO570FS,17,13,18,0
KE285GH,17,26,18,0
GL877MK,17,45,18,0
RV682AC,17,45,17,55
GL705QV,6,1,9,42
GL551TJ,6,8,16,8
GL043NO,6,19,12,17
SN286BR,6,19,15,35
KS518LS,6,36,20,0
MI787HB,6,43,19,35
RV423MP,6,53,14,28
MI392GO,7,4,20,0
MI763BE,7,14,20,0
KE433PU,7,21,11,36
KS021LR,7,58,13,2
MI747GI,8,3,13,25
KE678OJ,8,50,9,56
KS602WD,8,59,9,28
SN468NM,9,13,15,3
RV416CL,9,31,19,7
RV792GA,9,34,10,2
KS291MD,9,35,16,34
MI832KR,9,39,12,55
SO187SW,10,0,12,5
KE894GE,10,35,19,29
MI661CO,11,19,15,19
KS231SL,11,42,11,43
GL603WV,11,45,17,42
KE324AI,12,0,12,23
KS782SA,12,17,16,37
KS231SL,12,25,13,42
GL749KB,12,27,13,40
RV711CG,12,28,16,17
KE797LK,12,35,18,29
MI155WY,13,12,14,12
KE536NS,13,19,20,0
KE445PC,13,25,19,8
TV575DW,13,25,17,51
GL043NO,13,33,15,22
GL478YT,13,46,13,50
MI832KR,13,48,18,20
GL121DM,14,41,16,32
TV365PS,15,8,16,44
KS021LR,15,24,17,23
TV931MO,15,26,19,39
GL749KB,15,40,20,0
KS800JQ,16,1,17,44
KE956BX,16,27,19,30
SO157GZ,16,43,17,46
KS291MD,17,1,20,0
TV222PB,17,1,17,10
TV969WI,17,13,17,21
SO906ZY,17,17,19,29
TV365PS,18,23,18,43
SN190WY,18,24,20,0
GL849JD,18,32,18,54
TV626QR,18,38,18,39
TV574MU,19,23,20,0
KE966MB,19,32,19,46
SN671VM,19,41,20,0
SN255XH,19,48,20,0
GL778SS,8,35,17,57
SO436SH,8,38,13,54
SO405AM,8,38,10,17
GL774GF,9,41,12,40
KE853OK,9,44,12,34
SO907AY,9,51,20,0
TV997MR,10,19,16,7
TV324GK,10,29,19,29
MI079YI,10,38,11,21
SO601BD,11,12,18,8
KE637GT,11,21,12,9
GL163NS,11,31,11,41
TV631WH,11,33,19,36
MI908VP,11,47,16,1
KE410LO,12,5,17,35
SN682DB,12,18,12,20
SN745KU,12,26,17,50
KS385HB,12,47,20,0
GL426JP,12,49,15,49
SO405AM,12,54,19,21
GL054OY,13,24,18,45
KS049SB,13,27,18,57
KE796OZ,13,28,16,10
MI071BO,13,31,20,0
KS208GD,13,40,19,36
SN132XR,13,46,14,47
GL163NS,13,49,15,57
KE853OK,13,55,20,0
SN581JX,14,31,16,28
KS757OT,14,49,18,12
SO290UL,14,50,15,2
KS792QO,15,3,17,23
TV091AO,15,9,16,27
SO035YD,15,30,18,52
GL006UE,15,50,19,54
SN445PX,16,5,20,0
RV402OX,16,7,16,16
GL660LZ,16,12,16,55
SN132XR,16,28,16,38
GL426JP,16,31,19,17
KS963TO,16,55,18,22
RV897LB,17,1,20,0
SO693MF,17,20,18,29
KS980WR,17,33,17,56
SO952XW,17,44,18,39
GL163NS,17,50,19,30
KS716XB,17,53,20,0
TV997MR,17,55,18,30
KE839TI,18,10,19,41
KE094ZC,18,21,18,44
RV646XC,18,26,20,0
RV284DB,18,35,19,45
RV402OX,18,41,18,52
TV091AO,18,48,18,53
SO346UX,18,51,19,28
KS533TV,18,58,19,42
KS947NC,19,2,19,10
GL076ZI,19,43,20,0
SO969EF,19,51,20,0
KE992MQ,7,15,13,5
KS370XM,7,16,8,49
SO358YQ,7,31,13,26
MI777EB,7,54,13,49
SO799RZ,8,14,15,21
GL165QY,8,17,12,41
GL443AV,8,22,18,0
TV954HV,8,25,14,43
GL788VA,9,10,15,21
RV155UA,9,19,9,58
GL585FP,9,27,14,49
KS240BP,9,48,13,55
KS076AX,9,56,12,34
